Año,temp,dew,humidity,precip,solarradiation,solarenergy,hours_of_light,Provincias,Comunidad,Superficie Plantación,Producción Total
2016,14.822131147540983,10.768852459016394,77.77896174863388,970.079,59403.7,5127.9,4469.440277777778,Cantabria,Cantabria,0,0
2017,14.717808219178082,11.000821917808219,79.5213698630137,1011.975,61018.1,5269.4,4460.421666666667,Cantabria,Cantabria,0,0
2018,14.9786301369863,11.526575342465753,81.09945205479451,1209.589,58675.5,5057.7,4460.418333333333,Cantabria,Cantabria,0,0
2019,14.773972602739725,11.102465753424658,79.75424657534246,1297.66,52163.1,4510.6,4460.415,Cantabria,Cantabria,0,0
2020,15.500273224043717,11.69153005464481,79.40792349726776,1169.999,52515.8,4533.6,4469.424722222222,Cantabria,Cantabria,0,0
2021,14.60082191780822,10.844109589041096,79.56520547945205,1281.599,51576.7,4454.4,4460.413333333333,Cantabria,Cantabria,0,0
2022,15.715068493150685,11.580821917808219,78.02986301369863,855.887,52166.3,4502.9,4460.407222222222,Cantabria,Cantabria,0,0
2002,14.698082191780822,9.752876712328767,75.83917808219178,1046.713,0.0,0.0,4460.079444444445,Vizcaya,País Vasco,0,4
2003,15.39068493150685,9.861917808219177,73.61287671232877,1177.096,0.0,0.0,4460.080555555555,Vizcaya,País Vasco,0,3
2004,14.480054644808742,9.112568306010928,72.57185792349726,1107.638,0.0,0.0,4469.110277777778,Vizcaya,País Vasco,0,4
2005,14.487671232876712,8.455890410958904,69.95561643835616,1231.479,0.0,0.0,4460.071666666667,Vizcaya,País Vasco,0,4
2006,15.219178082191782,9.272328767123287,70.17671232876712,1008.057,0.0,0.0,4460.075833333333,Vizcaya,País Vasco,0,4
2007,14.28027397260274,8.904109589041095,72.06328767123287,1003.095,0.0,0.0,4460.074166666666,Vizcaya,País Vasco,0,4
2008,14.55136612021858,9.031420765027322,71.44180327868852,1373.434,0.0,0.0,4469.105833333333,Vizcaya,País Vasco,0,4
2009,14.018082191780822,9.11041095890411,74.55260273972603,1221.058,0.0,0.0,4460.069166666667,Vizcaya,País Vasco,0,4
2010,13.127397260273973,8.304383561643835,75.2172602739726,1382.763,64669.4,5580.3,4460.065,Vizcaya,País Vasco,0,4
2011,14.587123287671233,9.773972602739725,75.54849315068493,969.827,65732.8,5671.4,4460.065,Vizcaya,País Vasco,0,4
2012,13.520218579234971,8.900273224043715,76.37049180327868,1070.683,64533.6,5571.9,4469.0986111111115,Vizcaya,País Vasco,0,0
2013,13.49945205479452,9.292602739726028,78.00630136986301,1778.468,61996.5,5352.8,4460.057777777778,Vizcaya,País Vasco,0,4
2014,15.040821917808218,10.284931506849315,75.84986301369864,1190.188,64013.2,5526.4,4460.057777777778,Vizcaya,País Vasco,0,4
2015,14.895616438356164,10.312054794520549,76.93753424657534,1141.761,56253.7,4858.1,4460.060555555556,Vizcaya,País Vasco,0,4
2016,14.860928961748636,10.426775956284153,77.23306010928961,1181.492,57654.2,4972.9,4469.089722222222,Vizcaya,País Vasco,0,2
2017,14.84054794520548,10.743287671232878,78.9,1410.683,59276.5,5116.2,4460.051111111111,Vizcaya,País Vasco,0,3
2018,15.106575342465753,10.948767123287672,78.33972602739726,1298.85,58567.7,5047.6,4460.049444444445,Vizcaya,País Vasco,0,3
